branch_name,address,city,branch_code
MLS BANK JHB3,STONE WEDGE OFFICE PARK,"RANDBURG , GAUTENG",630213
MLS BENONI,ALLIANZ HOUSE 17 LAKEVIEW CRESENT,,635555
MLS BLOEMFONTEIN,420 OMNI CENTRE 73 ALIWAL STREET,,635655
MLS CAPE TOWN,13TH FLOOR METLIFE CENTRE COENSTEYTLER AVE,,635755
MLS COLLECTIONS,50 OXFORD ROAD KILLARNEY,,634855
MLS CORPORATE,50 OXFORD ROAD KILLARNEY,,635155
MLS DURBAN,SUITE 6 STRATEHMORE PARK 305 MUSGRAVE ROAD,,635455
MLS FUNDING,BLOCK D EMPIRE ROAD,"JOHANNESBURG , GAUTENG",636255
MLS JOHANNESBURG,BOMPAS SQUARE 9 BOMPAS ROAD,,634755
MLS PE,MUTUAL PLACE 4TH FLOOR,,635355
MLS PRETORIA,HADEFIELD BUILDING 1ST FLOOR,,635055
MMABATHO CROS LOAN CENTRE,MMABATHOCROSSING SHOPPING CENTRE,NORTH WEST,630777
MNISI,MINISI TRIBAL OFFICES,LIMPOPO,630313
MOBENI DURBAN*,150 CHAMBERLAIN ROAD,,334326
MOBILE SALES TEAM EGOLI,120 FOX STREET,"JOHANNESBURG , GAUTENG",630415
MODIMOLLE,H/V POTGIETER & PRETORIUSSTRAA,,334347
MOGWASE,"MOGWASE SHOPPING CENTRE , RAILWAY ROAD","RUSTENBURG , NORTH WEST",630186
MOKOPANE,VOORTREKKERWEG 76,,334348
MOKOPANE MALL,MOKOPANE MALL,POLOKWANE,630835
MOLOTO,BIG TREE MALL SHOPPING CENTRE,KWA MHLANGA,630604
MONEY SENSE MIDRAND,278 13TH ROAD,"MIDRAND, GAUTENG",630871
MONSTERUS,PORTION 13 ERF 669,MPUMALANGA,630346
"MONTAGU,K.P.*",4 MARK STREET,,334513
MONTAGUE GARDENS,SHOP 9 JOHN MONTAGUE CENTRE,,548309
MONTANA,MOOLMAN DEVELOPMENT C/O ZAMBEZI &,PRETORIA,630603
MONTCLAIR,MONTCLAIR MALL,DURBAN,630589
MONUMENT PARK,SHOP 12 MONUMENT PARK CENTRE,,631245
MONUMENTWEG KEMPTONPARK,H/VWOLF & VOORTREKKER STRATE,,516142
MOOIRIVER MALL POTCHEFSTROOM,MOOIRIVER MALL,NORTH WEST,630751
MOORREESBURG CHEQUE PROCESSING,,,624711
MOORREESBURG K.P.,40 MAIN ROAD,,520911
"MOORREESBURG,K.P.*",EIKESTAD MALL,,334111
MORATIWA CROSSING,MORITIWA CROSSING,LIMPOPO,630737
MORELETAPARK TVL,WINKELS 1 EN 2 MORELETA PLAZA,,336445
"MORGENZON,TVL",DE JARGERSTRAAT 199,,334444
MORTGAGE FUND,"4TH FLOOR , ABSA TOWERS WEST",GAUTENG,630722
MORULENG,SHOP 1,NORTH WEST,630073
MOSSEL BAY,C/O CHURCH & MARKET SQUARE,,630214
"MOSSELBAAI,K.P.",MARSHSTRAAT 52,,334214
MOSSELBAY PLAZA,82 MARSH STREET,,509614
MOTHERWELL,SHOP24 MOTHERWELL SHOPPING,EASTERN CAPE,630194
MOUNT FRERE,ERF 769,EASTERN CAPE,630359
MOUNTAIN MILL,MOUNTAIN MILL SHOPPING,WESTERN CAPE,630353
MOWBRAY,SHOP 102 CHAVDA HOUSE,CAPE TOWN,630960
MPUMALANGA PROVINCIAL BUILDING,"ABSA PROVINCIAL HEAD OFFICE, PAUL KRUGER ST",,630552
MPUMALANGA USAID FUND,"ABSA TOWERS WEST, 3RD FLOOR ORANGE",GAUTENG,630108
MQANDULI,ERF 38 MAIN STREET,EASTERN CAPE,630327
MQANDULI,ERF 38 MAIN STREET,EASTERN CAPE,630677
MTHATA PLAZA,SHOP 42 MTHATA PLAZA,EASTERN CAPE,630915
MTHATHA,CATHEDRAL SQUARE,UMTATA,630837
MTHATHA EAST,12 CHATHAM STREET,EASTERN CAPE,630318
MTUBATUBA,48 JAN SMUTS AVENUE,KWA ZULU NATAL,630591
MULTIBANK LEDGERS PRETORIA,"CURATOR BUILDING , 421 PRETORIA STR.","PRETORIA , GAUTENG",624552
MULTIBANK PRETORIA DAY 1,"CURATOR BUILDING,421 PRETORIUS STREET","PRETORIA , GAUTENG",624553
MULTIBANK PROC BLOEMFONTEIN,UNITED BUILDING 5TH FLOOR,FREE STATE,620105
MULTIBANK PROC CAPE TOWN,OSWALD PIROW BUILDING 5TH FLOOR,CAPE TOWN,620104
MULTIBANK PROC JOHANNESBURG,CENTRO CITY BUILDING,"JOHANNESBURG , GAUTENG",620101
MULTIBANK PROC KLERKSDORP,UNITED BUILDING 5TH FLOOR,,620102
MULTIBANK PROC PORT ELIZA,2 ND FLOOR STANDARD BANK,"PORT ELIZABETH , EASTERN CAPE",620106
MULTIBANK PROCESSING POLOKWANE,100 LANDROS MAREE STREET,POLOKWANE,624551
MULTIBANK PROCESSING WITBANK,1 ST FLOOR MIDLAND CENTRE,WITBANK,624650
MULTINATIONAL CLIENTS,180 COMMISSIONER STREET,GAUTENG,630985
"MURRAYSBURG,K.P.",14 PASTORIE STREET,PORT ELIZABETH,334608
MUSGRAVE CENTRE,MUSGRAVE CENTRE,"DURBAN , KWA ZULU NATAL",630624
MUSGRAVE DURBAN,U23/U24 MUSGRAVE CENTRE MUSGRA,,420426
MUSINA,6 NATIONAL ROAD,,334249
"NABOOMSPRUIT,TVL*",HANS VAN RENSBURGSTR 56,,334148
"NAPIER,K.P.",SAREL CILLIERSSTRAAT,,334512
NBFI,ABSA TOWERS NORTH,GAUTENG,630936
NDS FRANCHISE,AGN BUILDING 2ND FLOOR C/O COMMISIONER & TROYE,,637355
NELSON MANDELA DRIVE BLOEMFON,EIN VOORTREKKER EN FICHARDSTRA,,334234
NELSPRUIT,ALLIED BUILDING 34 BROWN STREE,,420052
NELSPRUIT CHEQUE PROCESSING,BROWN STREET BUILDING 34 BROWN STREET 5TH FLOOR,,624752
NELSPRUIT EXCLUSIVE,20 PAUL KRUGER STREET,MPUMALANGA,630991
NELSPRUIT LOAN CENTRE,PROMENADE CENTRE SHOP 40,MPUMALANGA,630811
NELSPRUIT PLAZA,C/O HENSHALL & BESTER STR,MPUMALANGA,630306
"NELSPRUIT,TVL*",ABSA SQUARE NELSPRUIT 2ND FLOOR,MPUMALANGA,334252
NEW ENTERPRISE BANKING,7 TH FLOOR TRUST BANK BLDG,JOHANNESBURG,630676
NEW GERMANY,63 SHEPSTONE ROAD,,560226
NEW MARKET,SHOP 46 & 47 NEW MARKET SHOPPING CENTRE,GAUTENG,630085
NEW REDRUTH,VOORTREKKERWEG 50 NEW REDRUTH,,506442
NEWCASTLE BULK CENTRE,31 VOORTREKKER STREET,KWAZULU NATAL,630347
NEWTONPARK PORT ELIZABETH KP,KAAPWEG 321,,511917
NGCOBO,EFR 158 HIGH STREET,EASTERN CAPE,630685
NI CITY,"SHOP 136,N1 CITY SHOPPING CENTRE",,420410
NICOLWAY,"NICOLWAY SHOPPING CENTRE, SHOP NO. L48",GAUTENG,630070
"NIGEL,TVL*",HENDRIK VERWOERDSTR 42,,334742
NKANDLA,ITHALA CENTRE SHOP 8,KWA-ZULU NATAL,630247
NON RESIDENT HOME LOAN JHB,"6TH FLOOR BROADCAST HOUSE,171 FOX STREET","JOHANNESBURG,GAUTENG",630192
NONGOMA,ISISWE SHOPPING CENTRE,KWA ZULU NATAL,630592
NONGOMA LOAN CENTRE,NONGOMA SHOPPING CENTRE,DURBAN,630779
NOORDE PARK,SHOP 7 OK NOORDE PARK,GAUTENG,421445
"NOORDEINDE, PORT ELIZABETH",484 GOVAN MBEKI AVE,,500517
NOORDVAAL LOAN CENTRE,ASTRA BUILDING SHOP 7 & 8 AD,GAUTENG,630740
NORTH CITY HOUSE,NORTH CITY HOUSE,"JOHANNESBURG , GAUTENG",630275
NORTH END LOAN CENTRE,467 TO 473 GOVAN MBEKI AVENUE,PORT ELIZABETH,630695
NORTH END LOAN CENTRE PE,GROUND FLOOR COPAL BLDG,PORT ELIZABETH,630680
NORTH WEST GOVER BANKING BRNCH,ABSA BUILDING GROUND FLOOR,,634540
NORTH WEST USAID FUND,"ABSA TOWERS WEST, 3RD FLOOR ORANGE",GAUTENG,630103
NORTHAM,NORTHAM SHOPPING CENTRE,LIMPOPO,630374
NORTHCITY HOUSE BRAAMFOMTEIN,NORTH CITY HOUSE,,504805
NORTHCLIFF JHB*,D/F MALANRYLAAN 189,,334705
NORTHERN CAPE PROVINCIAL BNKG,3RD FLOOR ABSA BLDG 80 BULTFONTEIN RD,,630302
NORTHERN CAPE USAID FUND,"ABSA TOWERS WEST, 3RD FLOOR ORANGE",GAUTENG,630140
NORTHERN PROV JOINT FUND,11 DIAGONAL STREET,GAUTENG,630861
NORTHGATE,SHOP B6 NORTHGATE SHOPPING CENTRE NORTHUMBERLAND,,515205
NORTHGATE RANDBURG,3 OLD POST OFFICE CENTRE RANDB,,632105
NORTHMEAD MALL,NORTHMEAD MALL SHOP 42,BENONI,630643
NORTHWEST DEVELOPMENT SATELITE,VOLKSKAS BUILDING CNR VAN DER WALT & PRETORUIS,,636856
NORTHWEST MALL MAFIKENG,MAINSTREET 12 MAFIKENGRINGTON,,634440
NQUTU,SHOP 6 NQUTHU PLAZA,NORTHERN KWAZULU,630681
OAK AVENUE RANDBURG,CNR OAK & RETAIL AVENUE FERNDALE,,334405
OAKDENE,SHOP U70 THE GLEN,"JOHANNESBURG , GAUTENG",633705
OAKFIELDS,OAKFIELDS SHOPPING CENTRE S13,GAUTENG,630800
"ODENDAALSRUS,O.V.S.*",ODENDAALSTRAAT 53,,334435
OGIES,GANBRO CENTRE,MPUMALANGA,630331
OLIEVENHOUTBOSCH,EXTENTION 38,CENTURION,630690
OPERATIONS SMALL BUSINESS,UNITED BUILDING,WESTERN CAPE,630892
OR TAMBO INT MEZZANINE,OR INTERNATIONAL AIRPORT,GAUTENG,630636
ORANGE FARM,PALM SPRING MALL,GAUTENG,630334
ORANGE FREE STATE PROVINCIAL,BANKING BRANCH,,630734
ORKNEY,SHAKESPEARELAAN 59,,335038
ORMONDE RASC,C/O HANDEL & MODULUS ROAD,"JOHANNESBURG , GAUTENG",630181
OTTOSDAL TVL,VOORTREKKERSTRAAT 23A,,334538
OU PAARLWEG*,2 OU PAARL ROAD,,334910
"OUDTSHOORN,K.P.*",H/V HOOG EN ST.JOHNSTRAAT,,334314
OVERPORT CITY,204 BOULEVARD LEVEL,KWA ZULU NATAL,630599
OXFORD ST NORTH EAST LONDON,UNITED BLDG C/O GLADSTONE & OXFORD STS,,501121
OXFORD ST.,117 OXFORD STREET,,420021
PAARDEN EILAND,28 MARINE DRIVE,,561509
PAARL MALL,PAARL MALL SHOP 1&2,WESTERN CAPE,630283
PAARL METRO CENTRE,PICK & PAY CENTRE,WESTERN CAPE,630550
PAARL METROPOLITAN CENTRE,FABRIEKSTRAAT WAMAKERSPLEIN,,510110
PAARL*,H/V HOOF EN NANTESSTRAAT,,334210
PANORAMA,DELMAR CENTRE,WESTERN CAPE,630882
PANORAMA,DELMAR CENTRE,WESTERN CAPE,630074
PARK STATION,"SHOP M3 M5 M7 & M14, RISSIK STREET",GAUTENG,630821
PARKTOWN TVL,CNR ST DAVIDS PLACE & GIRTON ROAD,,514205
PAROW CENTRE,PAROW CENTRE BANKING COURT,WESTERN CAPE,630632
"PAROW, KP",GROUND & FIRST FLOOR 21 MCINTYRE STREET,,502110
PARYS,H/V MIDDEL EN KERKSTRAAT,,512036
"PARYS,O.V.S.*",H/V MIDDEL EN KERKSTRAAT,,334836
"PATENSIE,K.P.",PAUL FERREIRASTRAAT,,334215
PAUL KRUGERSTRAAT PRETORIA*,PAUL KRUGERSTRAAT 301,,323445
"PAULPIETERSBURG,NTL",HOOGSTRAAT 17 PAULPIETERSBURG,,334424
"PAVILION,WESTVILLE","SHOP 241,PAVILION CENTRE",,631226
PAYNET,CENTRO CITY,"JOHANNESBURG , GAUTENG",634905
PC MARKETS MANAGEMENT & CNG,15 ALICE LANE,GAUTENG,630064
PCG CAPITAL MARKETS ACCOUNTS,15 ALICE LANE,"JOHANNESBURG, GAUTENG",630082
PCG DERIVATIVE CHEQ,15 ALICE LANE,GAUTENG,630084
PCG STRUCTURED DEBT,4TH FLOOR,GAUTENG,630715
PCG VOSTRO ZAPS,15 ALICE LANE,"JOHANNESBURG, GAUTENG",630978
PEER TO PEER BUSINESS,15 ALICE LANE,JOHANNESBURG,630095
PEER TO PEER CORPORATE,15 ALICE LANE,JOHANNEBURG,630094
PEER TO PEER RETAIL,15 ALICE LANE,JOHANNESBURG,630096
PENINSULA BBS,1ST FLOOR TIJGER PARK 4,WESTERN CAPE,630390
PENSION BACKED LENDING ASS,TRUST BANK BUILDING,GAUTENG,630560
PENSION SUPPORTED HOUSING LO,"2ND FLOOR BLOCK E, FLORA OFFICE PARK",GAUTENG,630987
PEP STORES,ABSA TOWERS MAIN,GAUTENG,630508
"PETRUS STEYN,O.V.S.",43 CHURCH STREET,,334936
"PETRUSBURG,O.V.S.",OSSEWASTRAAT,,334432
"PETRUSVILLE,K.P.",H/V VISAGIE EN KOMMISSIESTRAAT,,334103
PHAHAMENG,SHOP 16 KENWORTH CENTRE,FREE STATE,630369
PHALABORWA SUB-BRANCH 6187,16 WILGER AVENUE,,630352
"PHALABORWA,TVL",PHALABORWA MALL PICK 'N PAY,,334352
PHILANTHROPY CENTRE (PRIVATE),PARKRIDGE OFFICE PARK,,635305
PHOENIX,PHOENIX PLAZA SHOP 6,"DURBAN , KWA-ZULU NATAL",630421
PHOKENG,SHOP 22 BAFOKENG PLAZA,NORTH WEST,630546
PHUTHADITJHABA,CNR SETAI & MOTLOUNG STREETS,,335133
PHUTHADITJHABA LOAN CENTRE,SETSING 2 SHOPPING CENTRE,FREE STATE,630790
PICK & PAY CENT FEARIE GLEN,PICK & PAY CENTRE,"PRETORIA, GAUTENG",630661
PICK & PAY PINETOWN,SHOP 227/229 SANLAM CENTRE 17 KINGS ROAD,,631926
PICK & PAY POLOKWANE,LIMPOPO MALL,LIMPOPO,630631
PICK N PAY STRAND,H/V HOOFWEG EN FAGANSTRAAT,,533012
PIERS RD WYNBERG,HOOFWEG 142,,334209
"PIET RETIEF,TVL*",KERKSTRAAT 25A,,334544
PIETERSBURG,52 LANDROS MARE ST,,420048
PIETERSBURG-NOORD,50 LANDROS MARE STREET,,520848
"PIETERSBURG-NOORD,TVL*",70 HANS VAN RENSBURG ST.,,334448
PIKETBERG KP,VOORTREKKERSTRAAT 71 PIKETBERG,,535411
"PIKETBERG,K.P.*",VOORTREKKERSTR 71,,334211
PINELANDS,SHOP 13C HOWARD CENTRE,,639009
PINELANDS,HOWARD CENTRE SHOP G043,WESTERN CAPE,630886
PINETOWN,1 CHURCH ST,,505626
PINETOWN LOAN CENTRE,PINETOWN SHOPPING CENTRE SHOP 7,KWA-ZULU NATAL,630551
PIP EASTERN CAPE,208 JEPPE STREET,GAUTENG,630220
PLATINUM MALL,CNR CROCODILE AND HENDRIK VERWOERD ( R511 ),GAUTENG,630929
PLEIN STREET STELLENBOSH 8033,OUDE BLOEMHOF 18 PLEIN ST STELLENBOSCH,,630410
PLETTENBERGBAAI,SUN-SENTRUM WINKEL NR 5 EN 6,,529414
PLUMSTEAD,"SHOP G3,RICHMOND CENTRE,MAIN ROAD",,631509
PN'P BRACKENFELL,HYPERMARKET BRACKENFELL,WESTERN CAPE,630093
PNP ULUNDI,"SHOP B2A ONDINI PLAZA, PRINCE ALBERT STREET",KWAZULU NATAL,100984
POLOKWANE,70 HANS VAN RENSBURG ST,,334248
POLOKWANE ATM SERVICE CENTRE,100 LANDROS MARE STREET,,630748
POLOKWANE LOAN CENTRE,ANFAM BUILDING,LIMPOPO,630743
POMANADE,"PROMANADE MALL , C/O MORGENSTER & AZ BERMAN ROAD",CAPE TOWN,630166
PONGOLA,VOLKSKAS PERSEEL WINKEL NR 8 M,,334724
"PORT ALFRED,K.P",15 MAIN STREET,,529517
PORT EDWARD,PORT EDWARD MALL,KWA-ZULU NATAL,630588
PORT ELIZABETH 8015,"51 GOVAN MBEKI STREET,PORT ELIZABETH",,630117
PORT ELIZABETH CENTRAL,51 GOVAN MBEKI ST P.E.,,513817
PORT ELIZABETH ARAC,UNITED BUILDING 51 MAIN STREET,,334817
PORT ELIZABETH BSC,PORT UNITED BUILDING,,630217
PORT ELIZABETH CBC,"ALLIED BUILDING ,93 MAINSTREET",,420417
PORT ELIZABETH CHEQUE PROCESS.,PORT UNITED BUILDING,EASTERN CAPE,624617
PORT ELIZABETH CITY,UNITED DLDG 51 MAIN ST,,334517
PORT ELIZABETH LOAN CENTRE,149 GOVAN MBEKI AVENUE,EASTERN CAPE,630666
PORT ELIZABETH NORTH,TRUST BANK CENTRE HOOF STREET 5,,334317
PORT ST. JOHNS,SHOP D26,EASTERN CAPE,630916
PORTERVILLE KP,VOORTREKKERSTRAAT 19 PORTERVI,,525307
"PORTERVILLE,K.P.",19 VOORTREKKER STREET,,334407
"POSTMASBURG,K.P.",SPRINGBOKSTRAAT 7,,334302
POTCHEFSTROOM,UNITED BLDG 99 CHURCH ST,,420038
POTCHEFSTROOM,UNITED BUILDING 147 CHURCH STR,,630238
"POTCHEFSTROOM,TVL*",94 TOM ST NOORDBRUG,,334638
POYNTON PTA,KERKSTRAAT 137 PRETORIA,,515945
PRELLER PLEIN,PRELLER PLEIN CENTRE,BLOEMFONTEIN,630227
PREMIUM EAST LONDON,"72 RING ROAD, CORPORATE PLACE",EASTERN CAPE,630289
PREMIUM GAUTENG CENT,VUNANI OFFICE PARK,GAUTENG,630092
PREMIUM GEORGE,"72 RING ROAD, CORPORATE PLACE",EASTERN CAPE,630269
PREMIUM PORT ELIZABETH,"72 RING ROAD, CORPORATE PLACE",EASTERN CAPE,630268
PREMIUM SOUTH WEST AND ACQ,EASTGATE OFFICE PARK,GAUTENG,630056
PREMIUM-1,LA LUCIA RIDGE OFFICE ESTATE,KWAZULU NATAL,630045
PRESIDENT GERMISTON,GOLDEN HEIGHTS,,334542
PRESIDENT KRUGER ST VNDBP,PRESIDENT KRUGERSTR 3,,334237
PRESIDENT STREET WITBANK,PRESIDENTSTRAAT 47,,334450
PRESIDENTSTRAAT JHB,SANLAM CENTRE,,514705
PRETIUM VIRGINIA,VIRGINIA TUINE 32,,533335
PRETORIA ARAC,UNITED BUILDING CNR ANDRIES &,,336745
PRETORIA BUSINESS CENTRE,CNR VAN DER WALT & PRETORUIS STS 34TH FLOOR,,631045
PRETORIA CENTRAL,UNITED BLDG CNR DRIES & PRETORIUS STREET,,420445
PRETORIA CHEQUE PROCESSING,*UPDATE ADDRESS DETAILS FOR B.A. MANUAL UNDER,,626245
PRETORIA LOAN CENTRE,250 PRETORUIS STREET,GAUTENG,630528
PRETORIA NORTH,"NORTHPARK BUILDING,CNR EMILY HOBHOUSE &",,509145
PRETORIA NORTH 8119,"NORTHPARK BUILDING,CNR EMILY HOBHOUSE &",,630245
PRETORIA RAC 8080,UNITED BUILDING CNR PRETORIUS,,630545
PRETORIA ROAD SILVERTON,H/V PRETORIAWEG EN DE BOULEVAR,,549745
PRETORIA*,"VOLKSKASGEBOU, VAN DER WALTSTR",,323345
PRETORIA-WES,CHURCH STREET WEST 472,,517545
"PRETORIUSSTRAAT, PRETORIA",PRETORIUSSTRAAT 286,,500745
PRETORIUSSTRAAT-OOS PRETORIA,MOMENTUMSENTRUM GEBOU PRETORIU,,335745
PRETORUIS STR PRETORIA CELL 79,286 PRETORUIS STREET,,634956
PRICHARDT STREET SASOLBURG,UNITED BUILDING FICHARDT STREE,,630136
"PRIESKA,K.P.",H/V HOOF EN KERKSTRAAT,,334204
PRIME SERVICES PROJECTS,15 ALICE LANE,"JOHANNESBURG, GAUTENG",630975
PRIMROSE,PRIMROSE MALL,GERMISTON,335142
"PRINS ALBERT,K.P.",KERKSTRAAT 29,,334708
PRITCHARDSTRAAT,SANLAM CENTRE,,301705
PRIV BANK STUBENS VALL,CNR CHRISTIAAN DE WET & MILLENIUM BOULAVARD,GAUTENG,630395
PRIVATE ASSIST,INVESTMENT CAMPUS,JOHANNESBURG,630943
PRIVATE BANK BLOEMFONTEIN SUIT,CNR DONALD MURRAY & ZASTRON STREETS,,630834
PRIVATE BANK BOLAND,"DE WAGENWEG OFFICE PARK, GROUND FLOOR BLOCK B",CAPE TOWN,630791
PRIVATE BANK BROOKLYN,"VOLKSKAS CENTRE, 230 VAN DER WALT STREET",GAUTENG,630847
PRIVATE BANK CAPE TOWN SUITE,BELARDE BLOCK A. GROUND FLOOR CNR BELLA ROSA &,,630710
PRIVATE BANK CENTURION,"VOLKSKAS CENTRE, 230 VAN DER WALT STREET",GAUTENG,630849
PRIVATE BANK CLAREMONT,11 GROVE AVENUE,WESTERN CAPE,630792
PRIVATE BANK DURBAN SUITE,THE GLADES OFFICE BLOCK 70-72 AMSTRONG AVE,,631826
PRIVATE BANK EASTLANDS,"EASTLANDS OFFICE PARK, CNR BENTEL & NOORD RAND","BOKSBURG, GAUTENG",630830
PRIVATE BANK FAMILY OFFICE JHB,PARK RIDGE OFFICE PARK BLOCK A 1ST FLOOR,JOHANNESBURG,633405
PRIVATE BANK GEORGE,CATHEDRAL SQUARE BUILDING,WESTERN CAPE,630328
PRIVATE BANK HEERENGRACHT,"ABSA BUILDING , 6TH FLOOR",WESTERN CAPE,630789
PRIVATE BANK KIMBERLEY,"ABSA BUILDING, 80 BULTFONTEIN ROAD",NORTHERN CAPE,630822
PRIVATE BANK MENLYN,VOLKSKAS CENTRE,GAUTENG,630829
PRIVATE BANK NELSPRUIT,"VOLKSKAS CENTRE, 230 VAN DER WALT STREET",GAUTENG,630846
PRIVATE BANK PE,C/O FORUM NELSON MANDELA & PARFIT AVENUE,FREE STATE,630864
PRIVATE BANK PINTETOWN,1 CHURCH STREET,KWA-ZULU NATAL,630865
PRIVATE BANK POLOKWANE,VOLKSKAS CENTRE,GAUTENG,630827
PRIVATE BANK PROCESSING,ABSA BANK LIMITED,GAUTENG,630566
PRIVATE BANK RICHARDS BAY,"LAKE VIEW TERRACE, ABSA BUILDING",KWA-ZULU NATAL,630850
PRIVATE BANK RUSTENBURG,VOLKSKAS CENTRE,GAUTENG,630851
PRIVATE BANK SANDTON,MORNINGSIDE BUILDING,"SANDTON, GAUTENG",630674
PRIVATE BANK SANDTON,EAST BLOCK 187 RIVONIA ROAD,GAUTENG,630404
PRIVATE BANK SECUNDA,VOLKSKAS BUILDING,GAUTENG,630775
PRIVATE BANK STELLENBOSCH,OLD KOLLEDGE BUILDING,"CAPE TOWN, WESTERN CAPE",630424
PRIVATE BANK TABLE VIEW,NELPHI ARCH OFFICE PARK,"CAPE TOWN , WESTERN CAPE",630844
PRIVATE BANK TABLE VIEW,DELPHI OFFICE PARK,CAPE TOWN,630793
PRIVATE BANK TYGERVALLEY,ABSA BUILDING 6TH FLOOR,"CAPE TOWN, WESTERN CAPE",630794
PRIVATE BANK UMHLANGA RIDGE,EAST COAST RADIO HOUSE GROUND FLOOR,KWAZULU NATAL,630606
PRIVATE BANK VEREENIGING,CENTURION BUILDING,GAUTENG,630828
PRIVATE OFFICE,PARK RIDGE OFFICE PARK,"JOHANNESBURG , GAUTENG",634805
PROCESSING JHB,BRYANSTON SHOPPING CENTRE,GAUTENG,630501
PROESSTRAAT PRETORIA*,219 BOSMAN STREET,,323545
PROJECT NALA,15 ALICE LANE,GAUTENG,630063
PROJECT OLYMPUS,15 ALICE LANE,"JOHANNESBURG, GAUTENG",630986
PROMENADE NELSPRUIT TVL,CNR BROWN & PAUL KRUGER STREET,,521352
PROP 24 BONDS ORIGINATORS,LOTHBURY ROAD 9,"JOHANNESBURG , GAUTENG",630204
PROPERTY 24 FINANCE,539 CHURCH STREET STRUKTURA BUILDING,,631745
PROROM BUILDING NELSPRUIT,34 BROWN STREET,,500852
PROSPECTON,38 PROSPECTON ROAD,"DURBAN, KWAZULU NATAL",630587
PROTEA GARDENS ONE,PROTEA GARDENS SHOPPING CENTRE,"SOWETO , JHB , GAUTENG",630277
PROTEA GARDENS TWO,SHOP 66 PROTEA GARDENS,GAUTENG,630401
PROTEA GLEN,PROTEA GLEN SHOPPING CENTRE SHOP 76,GAUTENG,630071
PROTEA PARK,C/O FRIEDMAN & PROTEA PLACE,,535105
PSS PRIVATE BANK COASTAL,4TH FLOOR,WESTERN CAPE,630700
PTA ABC KLERKDORP SATELITE,ABSA BUILDING 91 CHURCH STREET 4TH FLOOR,,636656
PUBLIC SECTOR BORDER,CORPORATE PLACE GROUND FLOOR,"PORT ELIZABETH , EASTERN CAPE",630420
PUBLIC SECTOR CAPE TOWN,1ST FLOOR TIJGER PARK WILLIE VAN SCHOOR DRIVE,,631609
PUBLIC SECTOR GAUTENG,ABSA TOWERS NORTH,"JOHANNESBURG , GAUTENG",630266
PUBLIC SECTOR LIMPOPO,100 LANDROS MARE STREET,,630648
PUBLIC SECTOR NEWCASTLE,52 SCOTT STREET,,630324
PUBLIC SECTOR PIETERMARITZBURG,SHOP 2,PIETERMARITZBURG,630725
PUBLIC SECTOR TRANSACTIONS H.O,"ABSA TOWERS 29TH FLOOR, 160 MAIN STREET","JOHANNESBURG , GAUTENG",634605
PUBLIC SECTOR VAAL TRIANGLE,ALLIED BUILDING FIRST FLOOR,,630337
PUBLIC SECTOR WESTERN CAPE,106 YORK STREET,GEORGE,630164
PUBLIC SECTOR-EASTERN CAPE,"VSN CENTRE, 2ND FLOOR 116 GOVAN MBEKI DRIVE",,638256
PUBLIC SECTOR-GAUTENG EAST,"EASGATE OFFICE PARK 1ST FLOOR, SMITH BOULEVARD",,638156
PUBLIC SECTOR-GAUTENG NORTH,"VOLKSKAS BUILDING 34TH FLOOR, C/O V.D.WALT &",,638056
PUBLIC SECTOR-GAUTENG WEST,"BABCOCK BUILDING, 3RD FLOOR, SANDTON",,637956
PUBLIC SECTOR-WESTERN CAPE,TYGER PARK 4 1ST FLOOR,,637856
PVT BANK ASSET PROCESSING,TRUST BANK BUILDING,GAUTENG,630619
PVT BANK BLOEMFONTEIN,ABSA FORUM BUILDING,FREE STATE,630612
PVT BANK BRUMA,EASTGATE OFFICE PARK,JOHANNESBURG,630613
PVT BANK CAPE TOWN,ABSA BUILDING 6 TH FLOOR,WESTERN CAPE,630615
PVT BANK GEORGE,ABSA BUILDING,WESTERN CAPE,630611
PVT BANK KLERKSDORP,CARLA MARIET BUILDING,KLERKSDORP,630608
PVT BANK NEWCASTLE,ABSA PRIVATE BANK 1ST FLOOR,KWAZULU NATAL,630610
PVT BANK PIETERMARITZ,HAYFIELDS MALL,PIETERMARITZBURG,630622
PVT BANK PORT ELIZABETH,ABSA BUILDING 31 CAPE TOWN,PORT ELIZABETH,630616
PVT BANK PRETORIA,VOLKSKAS BUILDING 26TH FLOOR,GAUTENG,630614
PVT BANK PRETORIA NORTH,NORTH PARK CENTRE 2ND FLOOR CNR RACHEL DE BEER &,GAUTENG,630607
PVT BANK WITBANK,ABSA BANK BUILDING,MPUMALANGA,630618
QUAGGA CENTRE,QUAGGA CENTRE SHOP 1,PRETORIA WEST,630664
QUANTITATIVE ANALYSIS,15 ALLICE LANE,GAUTENG,630895
QUEENSTOWN CENTRAL 802,7 HEXAGON,,630120
"QUEENSTOWN,K.P.",HEXAGON 7,,334420
QUEENSWOOD,SHOP 2 QUEENSWOOD GALLERIES,PRETORIA,630660
QUIGNEY,CNR FLEET & GANTEAUME CRESCENT,"EAST LONDON, EASTERN CAPE",630539
RAISETHORRPE,589 GREYTOWN ROAD,PIETERMARITZBURG,630282
RANDBURG EXCLUSIVE,CORNER OAK AND RETAIL STREET,"RANDBURG, GAUTENG",630996
RANDBURG MALL,SANLAMSENTRUM H/V PRETORIA EN,,521005
